,folder,area,basin_level,alpha,p_thd,num_of_masked_basins,thd_low,thd_high,method,neg,stable,pos
0,Permanent_water,seasonal_area,6,1,,5270,-21.258315825607067,26.711076441649272,delta,633,6536,6725
0,Permanent_water,seasonal_area,6,1,0.01,5270,-21.258315825607067,26.711076441649272,utest,50,10372,3472
0,Permanent_water,seasonal_area,6,1,,5270,-21.258315825607067,26.711076441649272,delta,633,6536,6725
0,Permanent_water,seasonal_area,6,1,0.02,5270,-21.258315825607067,26.711076441649272,utest,89,9459,4346
0,Permanent_water,seasonal_area,6,1,,5270,-21.258315825607067,26.711076441649272,delta,633,6536,6725
0,Permanent_water,seasonal_area,6,1,0.025,5270,-21.258315825607067,26.711076441649272,utest,110,8981,4803
0,Permanent_water,seasonal_area,6,1,,5270,-21.258315825607067,26.711076441649272,delta,633,6536,6725
0,Permanent_water,seasonal_area,6,1,0.05,5270,-21.258315825607067,26.711076441649272,utest,191,8281,5422
0,Permanent_water,seasonal_area,6,1.5,,5270,-33.25066389242115,38.70342450846335,delta,345,8470,5079
0,Permanent_water,seasonal_area,6,1.5,0.01,5270,-33.25066389242115,38.70342450846335,utest,35,11035,2824
0,Permanent_water,seasonal_area,6,1.5,,5270,-33.25066389242115,38.70342450846335,delta,345,8470,5079
0,Permanent_water,seasonal_area,6,1.5,0.02,5270,-33.25066389242115,38.70342450846335,utest,59,10339,3496
0,Permanent_water,seasonal_area,6,1.5,,5270,-33.25066389242115,38.70342450846335,delta,345,8470,5079
0,Permanent_water,seasonal_area,6,1.5,0.025,5270,-33.25066389242115,38.70342450846335,utest,75,9988,3831
0,Permanent_water,seasonal_area,6,1.5,,5270,-33.25066389242115,38.70342450846335,delta,345,8470,5079
0,Permanent_water,seasonal_area,6,1.5,0.05,5270,-33.25066389242115,38.70342450846335,utest,141,9513,4240
0,Permanent_water,seasonal_area,6,2,,5270,-45.24301195923524,50.69577257527744,delta,192,9787,3915
0,Permanent_water,seasonal_area,6,2,0.01,5270,-45.24301195923524,50.69577257527744,utest,24,11594,2276
0,Permanent_water,seasonal_area,6,2,,5270,-45.24301195923524,50.69577257527744,delta,192,9787,3915
0,Permanent_water,seasonal_area,6,2,0.02,5270,-45.24301195923524,50.69577257527744,utest,42,11053,2799
0,Permanent_water,seasonal_area,6,2,,5270,-45.24301195923524,50.69577257527744,delta,192,9787,3915
0,Permanent_water,seasonal_area,6,2,0.025,5270,-45.24301195923524,50.69577257527744,utest,53,10802,3039
0,Permanent_water,seasonal_area,6,2,,5270,-45.24301195923524,50.69577257527744,delta,192,9787,3915
0,Permanent_water,seasonal_area,6,2,0.05,5270,-45.24301195923524,50.69577257527744,utest,99,10467,3328
0,Permanent_water,seasonal_area,6,2.5,,5270,-57.23536002604933,62.688120642091526,delta,120,10672,3102
0,Permanent_water,seasonal_area,6,2.5,0.01,5270,-57.23536002604933,62.688120642091526,utest,12,12039,1843
0,Permanent_water,seasonal_area,6,2.5,,5270,-57.23536002604933,62.688120642091526,delta,120,10672,3102
0,Permanent_water,seasonal_area,6,2.5,0.02,5270,-57.23536002604933,62.688120642091526,utest,24,11605,2265
0,Permanent_water,seasonal_area,6,2.5,,5270,-57.23536002604933,62.688120642091526,delta,120,10672,3102
0,Permanent_water,seasonal_area,6,2.5,0.025,5270,-57.23536002604933,62.688120642091526,utest,31,11410,2453
0,Permanent_water,seasonal_area,6,2.5,,5270,-57.23536002604933,62.688120642091526,delta,120,10672,3102
0,Permanent_water,seasonal_area,6,2.5,0.05,5270,-57.23536002604933,62.688120642091526,utest,68,11166,2660
0,Permanent_water,seasonal_area,6,3,,5270,-69.2277080928634,74.68046870890561,delta,72,11292,2530
0,Permanent_water,seasonal_area,6,3,0.01,5270,-69.2277080928634,74.68046870890561,utest,7,12401,1486
0,Permanent_water,seasonal_area,6,3,,5270,-69.2277080928634,74.68046870890561,delta,72,11292,2530
0,Permanent_water,seasonal_area,6,3,0.02,5270,-69.2277080928634,74.68046870890561,utest,16,12039,1839
0,Permanent_water,seasonal_area,6,3,,5270,-69.2277080928634,74.68046870890561,delta,72,11292,2530
0,Permanent_water,seasonal_area,6,3,0.025,5270,-69.2277080928634,74.68046870890561,utest,19,11878,1997
0,Permanent_water,seasonal_area,6,3,,5270,-69.2277080928634,74.68046870890561,delta,72,11292,2530
0,Permanent_water,seasonal_area,6,3,0.05,5270,-69.2277080928634,74.68046870890561,utest,44,11683,2167
