SDG_region,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
Australia and New Zealand (M49),0,2,0,2,0,1,2,0,3,1,1025
Central Asia (M49) and Southern Asia (MDG=M49),0,61,0,0,3,0,34,5,44,8,1607
Eastern Asia (M49) and South-eastern Asia (MDG=M49),4,49,2,0,3,8,88,16,80,20,2224
Latin America and the Caribbean (MDG=M49),6,27,2,2,3,5,45,11,45,10,2652
Northern America (M49) and Europe (M49),18,23,1,9,1,3,128,35,223,35,6211
Oceania (M49) excluding Australia and New Zealand (M49),0,0,0,0,0,0,2,0,1,0,101
Others,0,0,0,0,0,0,0,0,0,0,10
Sub-Saharan Africa (M49),3,27,0,3,1,5,58,14,66,18,3592
Western Asia (M49) and Northern Africa (M49),1,12,0,2,0,1,31,3,38,5,1741
World,32,201,5,18,11,23,388,84,500,97,19163
