basin_level,num_basins,start_year,p_u_thd,neg,stable,pos
0,278,2017,0.05,10,225,43
0,278,2017,0.02,7,238,33
0,278,2017,0.01,3,250,25
0,278,2017,0.005,0,262,16
0,278,2017,0.002,0,277,1
0,278,2017,0.001,0,278,0
3,778,2017,0.05,36,643,99
3,778,2017,0.02,19,688,71
3,778,2017,0.01,11,711,56
3,778,2017,0.005,2,743,33
3,778,2017,0.002,0,776,2
3,778,2017,0.001,0,777,1
4,2212,2017,0.05,78,1914,220
4,2212,2017,0.02,43,2003,166
4,2212,2017,0.01,28,2054,130
4,2212,2017,0.005,6,2132,74
4,2212,2017,0.002,0,2205,7
4,2212,2017,0.001,0,2209,3
5,6238,2017,0.05,186,5628,424
5,6238,2017,0.02,102,5819,317
5,6238,2017,0.01,62,5923,253
5,6238,2017,0.005,14,6065,159
5,6238,2017,0.002,0,6216,22
5,6238,2017,0.001,0,6230,8
6,19163,2017,0.05,404,17807,952
6,19163,2017,0.02,205,18274,684
6,19163,2017,0.01,121,18526,516
6,19163,2017,0.005,33,18816,314
6,19163,2017,0.002,0,19111,52
6,19163,2017,0.001,0,19142,21
7,62716,2017,0.05,803,60011,1902
7,62716,2017,0.02,414,60911,1391
7,62716,2017,0.01,262,61378,1076
7,62716,2017,0.005,95,61971,650
7,62716,2017,0.002,0,62604,112
7,62716,2017,0.001,0,62657,59
8,199144,2017,0.05,1433,194260,3451
8,199144,2017,0.02,721,195904,2519
8,199144,2017,0.01,427,196762,1955
8,199144,2017,0.005,168,197750,1226
8,199144,2017,0.002,0,198907,237
8,199144,2017,0.001,0,199013,131
